word,normalized_words,focus,index,POS,-1POS,-2POS,+1POS,+2POS
Chapter,chapter,1,0,NN,N/A,N/A,CD,.
7,7,0,1,CD,NN,N/A,.,N/A
.,.,0,2,.,CD,NN,N/A,N/A
On,on,0,0,IN,N/A,N/A,DT,JJ
the,the,0,1,DT,IN,N/A,JJ,NN
fifth,fifth,0,2,JJ,DT,IN,NN,:
day,day,0,3,NN,JJ,DT,:,RB
--,--,0,4,:,NN,JJ,RB,","
again,again,0,5,RB,:,NN,",",IN
",",",",0,6,",",RB,:,IN,RB
as,a,0,7,IN,",",RB,RB,","
always,always,0,8,RB,IN,",",",",PRP
",",",",0,9,",",RB,IN,PRP,VBD
it,it,0,10,PRP,",",RB,VBD,NNS
was,be,0,11,VBD,PRP,",",NNS,TO
thanks,thanks,0,12,NNS,VBD,PRP,TO,DT
to,to,0,13,TO,NNS,VBD,DT,NN
the,the,0,14,DT,TO,NNS,NN,:
sheep,sheep,0,15,NN,DT,TO,:,DT
--,--,0,16,:,NN,DT,DT,NN
the,the,0,17,DT,:,NN,NN,IN
secret,secret,0,18,NN,DT,:,IN,DT
of,of,0,19,IN,NN,DT,DT,JJ
the,the,0,20,DT,IN,NN,JJ,NN
little,little,0,21,JJ,DT,IN,NN,POS
prince,prince,0,22,NN,JJ,DT,POS,NN
's,'s,0,23,POS,NN,JJ,NN,VBD
life,life,0,24,NN,POS,NN,VBD,VBN
was,be,0,25,VBD,NN,POS,VBN,TO
revealed,reveal,1,26,VBN,VBD,NN,TO,PRP
to,to,0,27,TO,VBN,VBD,PRP,.
me,me,0,28,PRP,TO,VBN,.,N/A
.,.,0,29,.,PRP,TO,N/A,N/A
Abruptly,abruptly,0,0,RB,N/A,N/A,",",IN
",",",",0,1,",",RB,N/A,IN,NN
without,without,0,2,IN,",",RB,NN,TO
anything,anything,0,3,NN,IN,",",TO,VB
to,to,0,4,TO,NN,IN,VB,RP
lead,lead,0,5,VB,TO,NN,RP,TO
up,up,0,6,RP,VB,TO,TO,PRP
to,to,0,7,TO,RP,VB,PRP,","
it,it,0,8,PRP,TO,RP,",",CC
",",",",0,9,",",PRP,TO,CC,IN
and,and,0,10,CC,",",PRP,IN,IN
as,a,0,11,IN,CC,",",IN,DT
if,if,0,12,IN,IN,CC,DT,NN
