isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS,prediction
0,result,Combined,combined,0,16,40,40,8,5,0
0,result,treatment,treatment,1,8,16,40,5,40,0
0,result,of,of,2,5,8,16,40,40,0
0,result,selumetinib,selumetinib,3,24,40,40,39,22,0
0,result,and,and,4,39,24,40,22,32,0
0,result,standard,standard,5,22,39,24,32,8,0
0,result,of,of,6,32,22,39,8,19,0
0,result,care,care,7,8,32,22,19,12,0
0,result,agents,agent,8,19,8,32,12,22,0
1,result,results,result,9,12,19,8,22,32,0
0,result,in,in,10,22,12,19,32,9,0
0,result,enhanced,enhance,11,32,22,12,9,12,0
0,result,anti-tumour,anti-tumour,12,9,32,22,12,16,0
0,result,efficacy,efficacy,13,12,9,32,16,11,0
0,show,Mechanistic,mechanistic,0,16,12,9,11,9,0
0,show,biomarker,biomarker,1,11,16,12,9,16,0
0,show,studies,study,2,9,11,16,16,4,0
0,show,of,of,3,16,9,11,4,34,0
0,show,the,the,4,4,16,9,34,17,0
0,show,effects,effect,5,34,4,16,17,18,0
0,show,of,of,6,17,34,4,18,11,0
0,show,selumetinib,selumetinib,7,18,17,34,11,17,0
0,show,in,in,8,11,18,17,17,4,0
0,show,human,human,9,17,11,18,4,11,0
0,show,tumour,tumour,10,4,17,11,11,9,0
0,show,xenograft,xenograft,11,11,4,17,9,16,0
0,show,models,model,12,9,11,4,16,16,0
0,show,have,have,13,16,9,11,16,5,0
1,show,shown,show,14,16,16,9,5,40,0
0,show,that,that,15,5,16,16,40,40,0
0,show,",",",",16,22,40,40,32,9,0
0,show,in,in,17,32,22,40,9,16,0
0,show,addition,addition,18,9,32,22,16,11,0
0,show,to,to,19,16,9,32,11,9,0
0,show,pERK1/2,perk1/2,20,11,16,9,9,16,0
0,show,downregulation,downregulation,21,9,11,16,16,16,0
0,show,",",",",22,16,9,11,16,11,0
0,show,a,a,23,16,16,9,11,9,0
0,show,sustained,sustain,24,11,16,16,9,16,0
0,show,exposure,exposure,25,9,11,16,16,11,0
0,show,to,to,26,16,9,11,11,33,0
0,show,the,the,27,11,16,9,33,9,0
0,show,agent,agent,28,33,11,16,9,16,0
0,show,results,result,29,9,33,11,16,5,0
0,show,in,in,30,16,9,33,5,40,0
0,show,an,an,31,5,16,9,40,40,0
0,show,increase,increase,32,24,40,40,36,9,0
0,show,in,in,33,36,24,40,9,16,0
0,show,downstream,downstream,34,9,36,24,16,11,0
0,show,apoptotic,apoptotic,35,16,9,36,11,9,0
0,show,signalling,signal,36,11,16,9,9,16,0
0,show,and,and,37,9,11,16,16,5,0
0,show,a,a,38,16,9,11,5,40,0
0,show,decrease,decrease,39,5,16,9,40,40,0
0,show,in,in,40,11,40,40,9,16,0
0,show,cell,cell,41,9,11,40,16,22,0
0,show,cycle,cycle,42,16,9,11,22,32,0
0,show,progression,progression,43,22,16,9,32,6,0
0,show,(,(,44,32,22,16,6,41,0
0,show,<,<,45,6,32,22,41,17,0
0,show,xref,xref,46,40,6,32,17,19,0
0,show,ref-type=,ref-type=,47,17,41,6,19,35,0
0,show,'','',48,19,17,41,35,23,0
0,show,bibr,bibr,49,35,19,17,23,12,0
0,show,'','',50,23,35,19,12,12,0
0,show,rid=,rid=,51,12,23,35,12,4,0
0,show,'','',52,12,12,23,4,11,0
0,show,bib6,bib6,53,4,12,12,11,33,0
0,show,'','',54,11,4,12,33,22,0
0,show,>,>,55,33,11,4,22,5,0
0,show,Davies,davies,56,22,33,11,5,40,0
0,show,<,<,57,5,22,33,40,40,0
0,show,i,i,58,11,40,40,9,22,0
0,show,>,>,59,9,11,40,22,35,0
0,show,et,et,60,22,9,11,35,24,0
0,show,al,al,61,35,22,9,24,12,0
0,show,<,<,62,24,35,22,12,29,0
0,show,/i,/i,63,12,24,35,29,31,0
0,show,>,>,64,29,12,24,31,4,0
0,show,",",",",65,31,29,12,4,7,0
0,show,2007,2007,66,4,31,29,7,22,0
0,show,<,<,67,7,4,31,22,35,0
0,show,/xref,/xref,68,22,7,4,35,11,0
0,show,>,>,69,35,22,7,11,9,0
0,show,),),70,11,35,22,9,8,0
0,show,.,.,71,9,11,35,8,19,0
0,and,Furthermore,furthermore,0,8,9,11,19,11,0
0,and,",",",",1,19,8,9,11,22,0
0,and,a,a,2,11,19,8,22,35,0
0,and,chronic,chronic,3,22,11,19,35,11,0
0,and,dosing,dose,4,35,22,11,11,16,0
0,and,schedule,schedule,5,11,35,22,16,5,0
0,and,of,of,6,16,11,35,5,41,0
0,and,selumetinib,selumetinib,7,5,16,11,41,40,0
0,and,(,(,8,40,5,16,40,40,0
0,and,25,25,9,22,40,40,32,24,0
0,and,mg,mg,10,32,22,40,24,4,0
0,and,kg,kg,11,24,32,22,4,24,0
0,and,<,<,12,4,24,32,24,4,0
0,and,sup,sup,13,24,4,24,4,11,0
0,and,>,>,14,4,24,4,11,9,0
0,and,–1,–1,15,11,4,24,9,19,0
0,and,<,<,16,9,11,4,19,11,0
0,and,/sup,/sup,17,19,9,11,11,9,0
0,and,>,>,18,11,19,9,9,16,0
0,and,per,per,19,9,11,19,16,5,0
0,and,bid,bid,20,16,9,11,5,40,0
0,and,for,for,21,5,16,9,40,40,0
0,and,14,14,22,7,40,40,11,9,0
0,and,doses,dos,23,11,7,40,9,16,0
0,and,),),24,9,11,7,16,11,0
0,and,in,in,25,16,9,11,11,9,0
0,and,HCT-116,hct-116,26,11,16,9,9,12,0
0,and,xenografts,xenograft,27,9,11,16,12,16,0
0,and,increased,increase,28,12,9,11,16,22,0
0,and,the,the,29,16,12,9,22,32,0
0,and,levels,level,30,22,16,12,32,11,0
0,and,of,of,31,32,22,16,11,33,0
0,and,the,the,32,11,32,22,33,23,0
0,and,pro-apoptotic,pro-apoptotic,33,33,11,32,23,12,0
0,and,BH3,bh3,34,23,33,11,12,16,0
0,and,protein,protein,35,12,23,33,16,5,0
0,and,Bim-EL,bim-el,36,16,12,23,5,40,0
0,and,(,(,37,5,16,12,40,40,0
0,and,∼4-fold,∼4-fold,38,23,40,40,33,17,0
0,and,increase,increase,39,33,23,40,17,8,0
0,and,),),40,17,33,23,8,5,0
0,and,compared,compare,41,8,17,33,5,40,0
0,and,with,with,42,5,8,17,40,40,0
0,and,no,no,43,22,40,40,32,11,0
0,and,change,change,44,32,22,40,11,9,0
0,and,with,with,45,11,32,22,9,6,0
0,and,the,the,46,9,11,32,6,22,0
0,and,level,level,47,6,9,11,22,32,0
0,and,of,of,48,22,6,9,32,23,0
0,and,this,this,49,32,22,6,23,16,0
0,and,protein,protein,50,23,32,22,16,29,0
0,and,following,follow,51,16,23,32,29,9,0
0,and,a,a,52,29,16,23,9,12,0
0,and,shorter,shorter,53,9,29,16,12,6,0
0,and,dosing,dose,54,12,9,29,6,19,0
0,and,period,period,55,6,12,9,19,4,0
0,and,(,(,56,19,6,12,4,7,0
0,and,three,three,57,4,19,6,7,32,0
0,and,doses,dos,58,7,4,19,32,22,0
0,and,),),59,32,7,4,22,11,0
0,and,(,(,60,22,32,7,11,9,0
0,and,<,<,61,11,22,32,9,16,0
0,and,xref,xref,62,9,11,22,16,32,0
0,and,ref-type=,ref-type=,63,16,9,11,32,22,0
0,and,'','',64,32,16,9,22,5,0
0,and,fig,fig,65,22,32,16,5,40,0
0,and,'','',66,5,22,32,40,40,0
0,and,rid=,rid=,67,7,40,40,22,32,0
0,and,'','',68,22,7,40,32,6,0
0,and,fig1,fig1,69,32,22,7,6,41,0
0,and,'','',70,6,32,22,41,17,0
0,and,>,>,71,40,6,32,17,5,0
0,and,Figure,figure,72,17,41,6,5,40,0
0,and,1,1,73,5,17,41,40,40,0
0,and,<,<,74,39,40,40,15,9,0
0,and,/xref,/xref,75,15,39,40,9,8,0
0,and,>,>,76,9,15,39,8,31,0
0,and,),),77,8,9,15,31,34,0
0,and,.,.,78,31,8,9,34,11,0
0,want,In,in,0,34,31,8,11,9,0
0,want,order,order,1,11,34,31,9,16,1
