isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS,prediction
1,chapter,Chapter,chapter,0,15,39,39,7,4,1
0,chapter,4,4,1,7,15,39,4,39,0
0,chapter,.,.,2,4,7,15,39,39,0
0,cause,I,i,0,10,39,39,8,11,0
0,cause,had,have,1,8,10,39,11,15,0
0,cause,thus,thus,2,11,8,10,15,5,0
0,cause,learned,learn,3,15,11,8,5,23,0
0,cause,a,a,4,5,15,11,23,3,0
0,cause,second,second,5,23,5,15,3,10,0
0,cause,fact,fact,6,3,23,5,10,23,0
0,cause,of,of,7,10,3,23,23,3,0
0,cause,great,great,8,23,10,3,3,21,0
0,cause,importance,importance,9,3,23,10,21,31,0
0,cause,:,:,10,21,3,23,31,18,0
0,cause,this,this,11,31,21,3,18,28,0
0,cause,was,be,12,18,31,21,28,8,0
0,cause,that,that,13,28,18,31,8,15,0
0,cause,the,the,14,8,28,18,15,5,0
0,cause,planet,planet,15,15,8,28,5,8,0
0,cause,the,the,16,5,15,8,8,15,0
0,cause,little,little,17,8,5,15,15,10,0
0,cause,prince,prince,18,15,8,5,10,8,0
0,cause,came,come,19,10,15,8,8,11,0
0,cause,from,from,20,8,10,15,11,15,0
0,cause,was,be,21,11,8,10,15,20,0
0,cause,scarcely,scarcely,22,15,11,8,20,15,0
0,cause,any,any,23,20,15,11,15,31,0
0,cause,larger,large,24,15,20,15,31,33,0
0,cause,than,than,25,31,15,20,33,28,0
0,cause,a,a,26,33,31,15,28,21,0
0,cause,house,house,27,28,33,31,21,4,0
0,cause,!,!,28,21,28,33,4,39,0
0,contrast,But,but,0,4,21,28,39,39,0
0,contrast,that,that,1,23,39,39,3,10,0
0,contrast,did,do,2,3,23,39,10,15,0
0,contrast,not,not,3,10,3,23,15,28,0
0,contrast,really,really,4,15,10,3,28,30,0
0,contrast,surprise,surprise,5,28,15,10,30,26,0
0,contrast,me,me,6,30,28,15,26,28,0
0,contrast,much,much,7,26,30,28,28,21,0
0,contrast,.,.,8,28,26,30,21,3,0
0,know,I,i,0,21,28,26,3,6,0
0,know,knew,knew,1,3,21,28,6,10,0
0,know,very,very,2,6,3,21,10,10,0
0,know,well,well,3,10,6,3,10,8,0
0,know,that,that,4,10,10,6,8,15,0
0,know,in,in,5,8,10,10,15,31,0
0,know,addition,addition,6,15,8,10,31,33,0
0,know,to,to,7,31,15,8,33,33,0
0,know,the,the,8,33,31,15,33,10,0
0,know,great,great,9,33,33,31,10,23,0
0,know,planets,planet,10,10,33,33,23,6,0
0,know,--,--,11,23,10,33,6,11,0
0,know,such,such,12,6,23,10,11,15,0
0,know,as,a,13,11,6,23,15,10,0
0,know,the,the,14,15,11,6,10,22,0
0,know,Earth,earth,15,10,15,11,22,15,0
0,know,",",",",16,22,10,15,15,3,0
0,know,Jupiter,jupiter,17,15,22,10,3,21,0
0,know,",",",",18,3,15,22,21,31,0
0,know,Mars,mars,19,21,3,15,31,5,0
0,know,",",",",20,31,21,3,5,40,0
0,know,Venus,venus,21,5,31,21,40,8,0
0,know,--,--,22,39,5,31,8,15,0
0,know,to,to,23,8,40,5,15,5,0
0,know,which,which,24,15,8,40,5,10,0
0,know,we,we,25,5,15,8,10,21,0
0,know,have,have,26,10,5,15,21,35,0
